Unnamed: 0,Newspaper Title,Issue Date,Page Number,City,PDF Link
0,The Paducah Sun,03-21-1901,3,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901032102/0306.pdf
1,The Paducah Sun,04-23-1901,3,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901042301/0480.pdf
2,The Paducah Sun,04-05-1901,3,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901040501/0389.pdf
3,The Paducah Sun,03-28-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901032802/0333.pdf
4,The Washington Times,04-09-1923,1,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_melville_ver02/data/sn84026749/00222253974/1923040901/0623.pdf
5,The Paducah Sun,04-10-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901041001/0419.pdf
6,The Paducah Sun,04-06-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901040601/0393.pdf
7,The Butte Daily Bulletin,09-26-1919,2,"Butte, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_moose_ver01/data/sn83045085/00212476900/1919092601/0515.pdf
8,The Paducah Sun,04-08-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901040801/0411.pdf
9,Tonopah Daily Bonanza,12-06-1910,3,"Tonopah, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_aurora_ver02/data/sn86076142/00415626964/1910120601/1152.pdf
10,The Paducah Sun,03-22-1901,3,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901032201/0310.pdf
11,The Paducah Sun,04-03-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901040301/0371.pdf
12,The Washington Times,11-29-1929,25,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_adamsmorgan_ver01/data/sn84026749/00222254668/1929112901/0696.pdf
13,The Paducah Sun,03-26-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901032601/0321.pdf
14,The Paducah Sun,04-09-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901040901/0415.pdf
