Unnamed: 0,Newspaper Title,Issue Date,Page Number,City
0,The Paducah Sun,03-21-1901,3,"Paducah, Kentucky"
1,The Paducah Sun,04-23-1901,3,"Paducah, Kentucky"
2,The Paducah Sun,04-05-1901,3,"Paducah, Kentucky"
3,The Paducah Sun,03-28-1901,2,"Paducah, Kentucky"
4,The Washington Times,04-09-1923,1,"Washington, District Of Columbia"
5,The Paducah Sun,04-10-1901,2,"Paducah, Kentucky"
6,The Paducah Sun,04-06-1901,2,"Paducah, Kentucky"
7,The Butte Daily Bulletin,09-26-1919,2,"Butte, Montana"
8,The Paducah Sun,04-08-1901,2,"Paducah, Kentucky"
9,Tonopah Daily Bonanza,12-06-1910,3,"Tonopah, Nevada"
10,The Paducah Sun,03-22-1901,3,"Paducah, Kentucky"
11,The Paducah Sun,04-03-1901,2,"Paducah, Kentucky"
12,The Washington Times,11-29-1929,25,"Washington, District Of Columbia"
13,The Paducah Sun,03-26-1901,2,"Paducah, Kentucky"
14,The Paducah Sun,04-09-1901,2,"Paducah, Kentucky"
15,Tonopah Daily Bonanza,03-20-1920,3,"Tonopah, Nevada"
16,The Patriot,10-20-1922,7,"Glenmora, Louisiana"
17,The Coconino Sun,02-13-1908,4,"Flagstaff, Arizona"
18,The Paducah Sun,04-11-1901,2,"Paducah, Kentucky"
19,The Paducah Sun,04-04-1901,2,"Paducah, Kentucky"
20,The Butte Daily Bulletin,05-19-1919,5,"Butte, Montana"
21,The Chickasha Daily Express,10-03-1922,8,"Chickasha, Oklahoma"
22,Tonopah Daily Bonanza,01-06-1909,3,"Tonopah, Nevada"
23,Evening Journal,09-04-1918,3,"Wilmington, Delaware"
24,Evening Star,03-09-1901,8,"Washington, District Of Columbia"
25,The Washington Times,08-06-1930,1,"Washington, District Of Columbia"
26,The Kevin Review,07-07-1927,6,"Kevin, Montana"
27,The Evening Herald,06-08-1899,3,"Shenandoah, Pennsylvania"
28,The Goldfield News And Weekly Tribune,01-23-1915,2,"Goldfield, Nevada"
29,The Washington Times,03-20-1930,30,"Washington, District Of Columbia"
30,Plentywood Herald,07-08-1927,6,"Plentywood, Montana"
31,The Scranton Tribune,06-02-1899,8,"Scranton, Pennsylvania"
32,The Madison Daily Leader,01-26-1910,1,"Madison, South Dakota"
33,The Guthrie Daily Leader,07-31-1900,7,"Guthrie, Oklahoma"
34,The Paducah Sun,03-29-1901,2,"Paducah, Kentucky"
35,The Hartford Herald,09-17-1913,8,"Hartford, Kentucky"
36,The Central Record,11-27-1919,8,"Lancaster, Kentucky"
37,The Bamberg Herald,08-03-1911,7,"Bamberg, South Carolina"
38,The Vinita Daily Chieftain,06-28-1909,1,"Vinita, Oklahoma"
39,Evening Star,04-16-1925,36,"Washington, District Of Columbia"
40,Evening Star,07-15-1930,26,"Washington, District Of Columbia"
41,Evening Star,11-13-1928,24,"Washington, District Of Columbia"
42,The Morning Tulsa Daily World,06-04-1922,51,"Tulsa, Oklahoma"
43,The White Pine News,04-17-1909,4,"Ely, Nevada"
44,The White Pine News,04-20-1909,3,"Ely, Nevada"
45,Paducah Sun,03-28-1901,6,"Paducah, Kentucky"
46,Los Angeles Herald,10-15-1890,5,"Los Angeles, California"
47,Evening Star,10-10-1928,30,"Washington, District Of Columbia"
48,Las Vegas Age,08-03-1907,1,"Las Vegas, Nevada"
49,Carson City Daily Appeal,06-24-1910,3,"Carson City, Nevada"
50,The Washington Times,06-01-1925,1,"Washington, District Of Columbia"
51,Tonopah Daily Bonanza,09-19-1911,1,"Tonopah, Nevada"
52,Evening Star,01-30-1924,1,"Washington, District Of Columbia"
53,Morning Appeal,12-30-1894,3,"Carson City, Nevada"
54,The Pioche Weekly Record,07-16-1896,2,"Pioche, Nevada"
55,The Daily Worker,04-16-1924,1,"New York', 'Chicago, New York', 'Illinois"
56,Carson City Daily Appeal,05-16-1910,4,"Carson City, Nevada"
57,Evening Star,04-18-1930,7,"Washington, District Of Columbia"
58,The Coconino Sun,03-12-1898,19,"Flagstaff, Arizona"
59,Mohave County Miner,06-08-1901,3,"Mineral Park, Arizona"
60,Evening Star,05-13-1930,24,"Washington, District Of Columbia"
61,Arizona Republican,01-18-1896,1,"Phoenix, Arizona"
62,Los Angeles Herald,02-03-1909,1,"Los Angeles, California"
63,The Daily Missoulian,04-19-1909,1,"Missoula, Montana"
64,The Daily Ardmoreite,03-10-1915,4,"Ardmore, Oklahoma"
65,Great Falls Tribune,10-13-1922,1,"Great Falls, Montana"
66,Evening Star,11-24-1926,17,"Washington, District Of Columbia"
67,Evening Star,04-20-1901,25,"Washington, District Of Columbia"
68,Daily Kennebec Journal,03-14-1905,5,"Augusta, Maine"
69,The Coconino Sun,05-13-1899,19,"Flagstaff, Arizona"
70,The Marion Daily Mirror,10-11-1909,2,"Marion, Ohio"
71,The Silver State,08-13-1902,3,"Unionville', 'Winnemucca, Nevada"
72,Tonopah Daily Bonanza,06-20-1917,1,"Tonopah, Nevada"
73,The Herald,08-19-1895,12,"Los Angeles, California"
74,The Pioche Record,08-08-1919,2,"Pioche, Nevada"
75,The Chickasha Daily Express,11-06-1922,1,"Chickasha, Oklahoma"
76,The Omaha Morning Bee,08-08-1923,5,"Omaha, Nebraska"
77,Evening Star,06-13-1930,9,"Washington, District Of Columbia"
78,Great Falls Tribune,02-15-1922,1,"Great Falls, Montana"
79,The Hattiesburg News,06-04-1910,3,"Hattiesburg, Mississippi"
80,The Dillon Herald,08-28-1919,2,"Dillon, South Carolina"
81,Richmond Daily Register,02-10-1920,6,"Richmond, Kentucky"
82,Durant Weekly News,01-15-1915,1,"Durant, Oklahoma"
83,The Middleburgh Post,11-28-1901,6,"Middleburg, Pennsylvania"
84,Jerome Mining News,08-10-1903,1,"Jerome, Arizona"
85,The Washington Times,05-22-1922,8,"Washington, District Of Columbia"
86,Carrizozo News,12-08-1911,1,"Carrizozo, New Mexico"
87,The San Francisco Call,11-23-1901,9,"San Francisco, California"
88,The Daily Ardmoreite,10-09-1901,5,"Ardmore, Oklahoma"
89,The Paducah Sun,04-02-1901,2,"Paducah, Kentucky"
90,The Scranton Tribune,06-29-1899,3,"Scranton, Pennsylvania"
91,The Evening Herald,06-05-1899,4,"Shenandoah, Pennsylvania"
92,The Evening Herald,04-23-1898,4,"Shenandoah, Pennsylvania"
93,The Washington Times,04-26-1927,8,"Washington, District Of Columbia"
94,The Herald,10-01-1895,7,"Los Angeles, California"
95,The Coconino Sun,10-19-1923,8,"Flagstaff, Arizona"
96,The Hocking Sentinel,05-08-1902,4,"Logan, Ohio"
97,The Hattiesburg News,06-03-1910,3,"Hattiesburg, Mississippi"
98,The Hattiesburg News,06-08-1910,3,"Hattiesburg, Mississippi"
99,Evening Times-Republican,04-17-1917,10,"Marshalltown, Iowa"
100,Los Angeles Herald,05-31-1910,9,"Los Angeles, California"
101,The Holbrook News,04-25-1919,4,"Holbrook, Arizona"
102,Mohave County Miner,06-15-1901,3,"Mineral Park, Arizona"
103,Carson City Daily Appeal,06-13-1910,3,"Carson City, Nevada"
104,The Coconino Sun,11-05-1898,17,"Flagstaff, Arizona"
105,The Hawaiian Star,08-20-1910,10,"Honolulu, Hawaii"
106,The Herald,10-06-1895,7,"Los Angeles, California"
107,The Holbrook News,06-04-1909,7,"Holbrook, Arizona"
108,Evening Star,02-07-1930,3,"Washington, District Of Columbia"
109,The Herald,01-03-1897,13,"Los Angeles, California"
110,Arizona Republican,10-02-1895,4,"Phoenix, Arizona"
111,The Public Ledger,03-12-1915,3,"Maysville, Kentucky"
112,Carson City Daily Appeal,06-17-1910,3,"Carson City, Nevada"
113,Carson City Daily Appeal,06-22-1910,3,"Carson City, Nevada"
114,Omaha Daily Bee,03-25-1895,5,"Omaha, Nebraska"
115,The Washington Times,02-12-1930,3,"Washington, District Of Columbia"
116,Arizona Daily Citizen,03-09-1901,2,"Tucson, Arizona"
117,Arizona Daily Citizen,03-05-1901,2,"Tucson, Arizona"
118,Evening Star,01-14-1929,1,"Washington, District Of Columbia"
119,West Virginia Daily Oil Review,09-03-1898,3,"Sistersville, West Virginia"
120,Macon Beacon,12-06-1912,2,"Macon, Mississippi"
121,The Pioche Weekly Record,10-07-1897,2,"Pioche, Nevada"
122,The Silver State,05-17-1900,4,"Unionville', 'Winnemucca, Nevada"
123,Newark Leader,04-10-1925,3,"Newark, Ohio"
124,The Morning Tulsa Daily World,08-08-1920,27,"Tulsa, Oklahoma"
125,The Daily Alaska Empire,01-14-1929,3,"Juneau, Alaska"
126,The Coconino Sun,10-05-1901,6,"Flagstaff, Arizona"
127,The Alaska Daily Empire,03-22-1926,5,"Juneau, Alaska"
128,The Houston Daily Post,04-28-1901,29,"Houston, Texas"
129,Carson City Daily Appeal,06-15-1910,3,"Carson City, Nevada"
130,The Evening Herald,06-29-1899,3,"Shenandoah, Pennsylvania"
131,Harrisburg Telegraph,05-18-1916,4,"Harrisburg, Pennsylvania"
132,Los Angeles Herald,04-04-1892,7,"Los Angeles, California"
133,The Minneapolis Journal,03-09-1901,24,"Minneapolis, Minnesota"
134,Mesa Free Press,10-08-1897,2,"Mesa, Arizona"
135,Daily Inter Mountain,10-16-1899,7,"Butte, Montana"
136,Bisbee Daily Review,10-25-1903,5,"Bisbee, Arizona"
137,The Washington Times,04-10-1915,1,"Washington, District Of Columbia"
138,The Coconino Sun,09-29-1900,16,"Flagstaff, Arizona"
139,The Washington Times,11-20-1929,17,"Washington, District Of Columbia"
140,Evening Star,09-29-1922,36,"Washington, District Of Columbia"
141,The Argus,01-29-1898,1,"Holbrook, Arizona"
142,Holbrook Argus,03-08-1902,2,"Holbrook, Arizona"
143,The Coconino Sun,10-05-1901,4,"Flagstaff, Arizona"
144,Arizona Republican,03-03-1896,1,"Phoenix, Arizona"
145,The Argus,03-12-1898,1,"Holbrook, Arizona"
146,The Washington Times,01-28-1923,52,"Washington, District Of Columbia"
147,The Kevin Review,08-12-1926,1,"Kevin, Montana"
148,The San Francisco Call,10-24-1895,4,"San Francisco, California"
149,Arizona State Miner,05-30-1925,8,"Wickenburg, Arizona"
150,The Ronan Pioneer,08-17-1923,3,"Ronan, Montana"
151,The Washington Herald,09-29-1912,2,"Washington, District Of Columbia"
152,Evening Star,03-27-1915,8,"Washington, District Of Columbia"
153,El Paso Herald,07-20-1920,14,"El Paso, Texas"
154,The Coconino Sun,09-08-1900,12,"Flagstaff, Arizona"
155,Arizona Republican,05-31-1903,2,"Phoenix, Arizona"
156,The Oasis,02-13-1897,2,"Arizola', 'Benson', 'Nogales, Arizona"
157,The Argus,11-27-1897,1,"Holbrook, Arizona"
158,The Tulsa Star,10-02-1920,7,"Tulsa, Oklahoma"
159,The Citizen,07-02-1914,4,"Berea, Kentucky"
160,The Evening Bulletin,12-06-1890,2,"Maysville, Kentucky"
161,Bisbee Daily Review,07-05-1914,16,"Bisbee, Arizona"
162,The Hattiesburg News,06-14-1910,3,"Hattiesburg, Mississippi"
163,Evening Star,11-23-1930,15,"Washington, District Of Columbia"
164,The Helena Independent,02-14-1890,6,"Helena, Montana"
165,The Philipsburg Mail,08-31-1900,2,"Philipsburg, Montana"
166,The Western News,07-18-1906,6,"Hamilton', 'Stevensville, Montana"
167,The Hattiesburg News,05-25-1910,6,"Hattiesburg, Mississippi"
168,The Washington Times,04-09-1930,1,"Washington, District Of Columbia"
169,The Argus,01-01-1898,1,"Holbrook, Arizona"
170,The White Pine News,10-23-1897,2,"East Ely', 'Treasure City', 'Taylor', 'Ely, Nevada"
171,Arizona Daily Citizen,03-02-1901,2,"Tucson, Arizona"
172,Morning Appeal,07-20-1905,3,"Carson City, Nevada"
173,Los Angeles Herald,01-17-1909,30,"Los Angeles, California"
174,The Daily Worker,01-05-1927,5,"New York', 'Chicago, New York', 'Illinois"
175,The Beatrice Daily Express,01-02-1924,1,"Beatrice, Nebraska"
176,Daily Capital Journal,06-11-1910,3,"Salem, Oregon"
177,Mohave County Miner,07-08-1911,1,"Mineral Park, Arizona"
178,Los Angeles Herald,01-10-1909,1,"Los Angeles, California"
179,The Browning Review,08-17-1923,7,"Browning, Montana"
180,The Kevin Review,08-16-1923,3,"Kevin, Montana"
181,The Argus,04-09-1898,1,"Holbrook, Arizona"
182,Evening Star,01-28-1914,3,"Washington, District Of Columbia"
183,The Wisconsin Weekly Advocate,08-23-1900,4,"Milwaukee, Wisconsin"
