Newspaper Title,Issue Date,Page Number,City,State,PDF Link,prim_long_dec,prim_lat_dec
The Paducah Sun,03-21-1901,3,Paducah,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901032102/0306.pdf,-88.6322692,37.0579342
The Washington Times,04-09-1923,1,Washington,District Of Columbia,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_melville_ver02/data/sn84026749/00222253974/1923040901/0623.pdf,-77.0163653,38.9001118
The Butte Daily Bulletin,09-26-1919,2,Butte,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_moose_ver01/data/sn83045085/00212476900/1919092601/0515.pdf,-112.5323854,45.953351
Tonopah Daily Bonanza,12-06-1910,3,Tonopah,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_aurora_ver02/data/sn86076142/00415626964/1910120601/1152.pdf,-117.1948045,38.1563219
The Patriot,10-20-1922,7,Glenmora,Louisiana,https://tile.loc.gov/storage-services/service/ndnp/lu/batch_lu_ivysaur_ver01/data/sn88064299/00295874661/1922102001/0295.pdf,-92.5823825,30.9733148
The Coconino Sun,02-13-1908,4,Flagstaff,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_gilamonster_ver01/data/sn87062055/00211106712/1908021301/0013.pdf,-111.6632771,35.2386639
The Chickasha Daily Express,10-03-1922,8,Chickasha,Oklahoma,https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_icecream_ver01/data/sn86090528/00295864722/1922100301/0226.pdf,-97.9419884,35.0667314
Evening Journal,09-04-1918,3,Wilmington,Delaware,https://tile.loc.gov/storage-services/service/ndnp/deu/batch_deu_hockessin_ver01/data/sn85042354/00383343021/1918090401/0132.pdf,-75.5829806,39.6834461
Evening Star,03-09-1901,8,Washington,District Of Columbia,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_japanesechin_ver01/data/sn83045462/00280655399/1901030901/0058.pdf,-77.0163653,38.9001118
The Kevin Review,07-07-1927,6,Kevin,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_clarkia_ver01/data/sn85053343/00340581866/1927070701/0207.pdf,-111.9654907,48.7457418
